"Country.Name","Country.Code","Years.of.Compulsory.Education","Health.Expenditure.per.capita","Diabetes.Prevalence","GDP.per.capita.PPP","Tertiary.Education.Expenditure.per.student","Human.Capital.Index","Life.Expectancy.at.birth","Population"
"Belize","BLZ",8,541.43432741,17.11,8500.44479966081,30.1654491424561,NA,70.588,375769
"Benin","BEN",6,83.47636765,0.99,2276.59572978031,NA,0.406,61.171,11175204
"Bermuda","BMU",13,NA,13,NA,NA,NA,81.4419512195122,63874
"Bhutan","BTN",NA,293.1100222,9.75,10173.0510685791,NA,NA,70.565,745568
"Bolivia","BOL",14,496.30618855,6.89,7480.07714057558,NA,NA,69.473,11192854
"Bosnia and Herzegovina","BIH",9,1123.4254254,10.08,13735.0302372246,NA,0.618,77.087,3351527
"Botswana","BWA",NA,931.30471441,4.81,17784.8558105295,NA,0.424,67.618,2205128
"Brazil","BRA",14,1777.47047654,8.11,15662.2470175963,NA,0.56,75.723,207833831
"British Virgin Islands","VGB",12,NA,13.67,NA,NA,NA,NA,29577
"Brunei Darussalam","BRN",9,1812.41364645,12.79,79789.6050852948,32.1306114196777,NA,77.374,424473
"Bulgaria","BGR",11,1577.94276162,5.81,20948.0970565215,NA,0.676,74.8121951219512,7075947
"Burkina Faso","BFA",10,115.60433137,2.42,1866.17061993571,334.000061035156,0.369,60.77,19193284
"Burundi","BDI",NA,50.25423113,6.05,737.97858286726,NA,0.38,57.857,10827024
"Cabo Verde","CPV",10,347.64124992,2.42,7026.98412242795,39.3393707275391,NA,73.004,537497
"Cambodia","KHM",NA,228.57086774,4,4019.67998511045,NA,0.493,69.331,16009414
"Cameroon","CMR",6,169.28882146,7.2,3644.80109612329,NA,0.394,58.575,24566045
"Canada","CAN",10,4718.29681786,7.37,46723.3177643637,36.6474418640137,0.799,82.4704878048781,36540268
"Caribbean small states","CSS",6,950.420452798661,11.8526752160655,15753.1762229694,NA,NA,73.3185494458935,7314990
"Cayman Islands","CYM",12,NA,13.22,72607.571471824,NA,NA,NA,63382
"Central African Republic","CAF",10,29.9077719,6.1,829.346498086113,NA,NA,52.89,4596028
"Central Europe and the Baltics","CEB",10,1779.37552861779,6.8634887115259,29617.8654804097,NA,NA,77.0339659062949,102738854
"Chad","TCD",10,94.95477954,6.1,1929.47275158835,NA,0.293,53.208,15016773
"Channel Islands","CHI",NA,NA,4.28,NA,NA,NA,81.255,168665
